ID,DEFAULT,AGE,ACADMOS,ADEPCNT,MAJORDRG,MINORDRG,OWNRENT,INCOME,SELFEMPL,INCPER,EXP_INC,SPENDING,LOGSPEND 
28,1,27.166666,65,0,1,0,0,2416.6666667,0,32600.0,0.0675521,163.2510275,5.0952891 
29,1,35.75,16,2,0,0,0,1280.0,0,5120.0,0.2461198,315.0333405,5.7526785 
30,0,32.0,12,0,0,1,0,2383.3333333,0,28600.0,0.1484685,353.8499827,5.8688730 
31,0,28.833334,72,3,0,0,1,2125.0,0,6375.0,0.0885306,188.1274935,5.2371199 
32,1,24.833334,132,2,0,1,1,2500.0,0,10000.0,0.025359,63.3975025,4.1494245 
33,0,31.583334,324,1,0,0,0,1416.6666667,0,8500.0,0.0038824,5.5000000,1.7047481 
34,1,29.833334,20,0,1,1,1,2583.3333333,0,31000.0,0.0466452,120.4999986,4.7916497 
35,0,27.666666,24,0,0,0,0,2083.3333333,0,30000.0,0.1860903,387.6881984,5.9602014 
36,1,45.75,145,0,0,0,1,2216.6666667,0,26600.0,0.0090053,19.9616673,2.9938138 
37,0,26.916666,3,0,0,0,1,3333.3333333,0,40000.0,0.1420135,473.3783503,6.1598950 
38,0,23.333334,12,0,0,0,0,1666.6666667,0,20000.0,0.028804,48.0066674,3.8713399 
39,0,41.1666679,18,1,0,0,0,3750.0,0,22500.0,0.076116,285.4349837,5.6540143 
40,1,21.166666,6,0,0,0,0,1750.0,0,21000.0,0.0282529,49.4424994,3.9008104 
41,1,45.75,144,2,0,2,1,4166.6666667,0,16666.6660156,0.0339852,141.6050053,4.9530415 
42,1,45.75,144,0,0,0,1,4166.6666667,0,50000.0,0.001525,6.3541665,1.8491107 
43,0,22.416666,12,0,0,0,0,1666.6666667,0,20000.0,0.278466,464.1099771,6.1401215 
44,1,23.833334,33,0,0,0,0,1300.0,0,15600.0,0.3860019,501.8024892,6.2182066 
45,0,49.5,16,0,0,0,1,1408.3333333,1,16900.0,0.0230769,32.5000007,3.4812401 
46,1,34.5833321,3,4,0,0,1,2250.0,0,10200.0,0.0970047,218.2605844,5.3856897 
47,0,30.666666,24,1,0,0,1,2083.3333333,0,12500.0,0.0611788,127.4558327,4.8477699 
48,0,19.666666,88,0,0,0,1,1250.0,0,15000.0,0.049976,62.4700030,4.1346865 
49,1,21.5,60,0,0,0,0,1708.3333333,0,24000.0,0.0290417,49.6128470,3.9042498 
50,0,27.166666,28,0,0,0,0,2458.3333333,0,29500.0,0.22528,553.8133377,6.3168277 
51,0,22.25,18,1,0,0,1,2083.3333333,0,12500.0,0.1251468,260.7225130,5.5634567 
52,0,20.166666,40,0,0,0,0,1458.3333333,0,18700.0,0.0460481,67.1535187,4.2069813 
53,1,26.083334,30,1,0,0,0,1958.3333333,0,11750.0,0.0428511,83.9166677,4.4298243 
54,1,29.666666,62,0,1,0,0,1666.6666667,0,20000.0,0.05134,85.5666647,4.4492958 
55,1,25.75,288,0,0,1,0,1900.0,0,22800.0,0.0312719,59.4166685,4.0845748 
56,1,34.5,12,1,1,0,0,3333.3333333,0,20000.0,0.074301,247.6699899,5.5120972 
57,0,37.75,44,2,0,0,1,3083.3333333,0,12333.3330078,0.0082386,25.4025011,3.2348476 
58,0,35.1666679,17,0,0,0,1,2666.6666667,0,32000.0,0.0504325,134.4866653,4.9014651 
59,1,26.083334,24,2,0,0,1,1537.1666667,0,6815.3334961,0.0128764,19.7931067,2.9853337 
60,0,24.0,72,0,0,0,1,3333.3333333,0,85000.0,0.0481588,160.5294148,5.0784772 
61,1,27.416666,24,0,0,0,0,2916.6666667,0,35000.0,0.0387589,113.0466722,4.7278008 
62,0,40.3333321,26,3,0,0,1,5833.3333333,0,22500.0,0.0577587,336.9255550,5.8198620 
63,0,37.3333321,51,0,1,0,0,1750.0,0,39000.0,0.0916836,160.4462937,5.0779593 
64,0,58.9166679,312,1,0,0,1,2966.1666667,0,17797.0,0.0143179,42.4691670,3.7487783 
65,1,30.75,36,1,0,2,0,2075.0,0,13150.0,0.0540684,112.1920181,4.7202119 
66,0,39.25,6,1,0,0,1,2500.0,0,18000.0,0.0957403,239.3507026,5.4779299 
67,1,39.5,36,1,1,0,0,1595.8333333,0,9575.0,0.069295,110.5833367,4.7057694 
68,1,40.5,131,3,0,0,0,1559.1666667,0,4677.5,0.0335649,52.3333358,3.9576336 
69,0,42.25,120,2,0,0,1,2916.6666667,0,11666.6669922,0.0449457,131.0916633,4.8758968 
70,1,22.666666,17,0,0,0,0,1583.3333333,0,19000.0,0.2661621,421.4233210,6.0436378 
71,1,61.0,78,1,0,0,0,2083.3333333,0,20000.0,0.0266375,55.4947920,4.0162892 
72,1,28.25,114,2,1,1,1,2500.0,0,17000.0,0.1693137,423.2843220,6.0480441 
73,0,47.3333321,228,2,0,0,1,3750.0,0,15000.0,0.0074667,28,3.3322045 
74,0,35.0,159,1,0,0,1,2083.3333333,0,12500.0,0.008724,18.1750006,2.9000471 
75,0,58.3333321,209,1,0,0,1,2141.6666667,0,12850.0,0.0091125,19.5158330,2.9712261 
76,0,43.0,49,0,1,0,1,2083.3333333,0,30000.0,0.201726,420.2624783,6.0408795 
77,1,29.916666,27,0,2,0,0,2250.0,0,27000.0,0.1157119,260.3516690,5.5620333 
78,1,41.75,24,0,1,0,0,1666.6666667,0,20000.0,0.073281,122.1349960,4.8051270 
79,0,33.0833321,29,4,1,1,0,2685.8333333,0,6446.0,0.0522445,140.3199978,4.9439255 
80,1,43.9166679,94,3,0,0,0,1916.6666667,0,5750.0,0.0463317,88.8025034,4.4864148 
81,1,23.916666,60,0,0,2,0,2083.3333333,0,25000.0,0.1141952,237.9066621,5.4718784 
82,0,28.75,26,2,0,0,1,2666.6666667,0,18666.6660156,0.0745048,198.6795266,5.2916931 
83,1,19.5,6,0,0,0,1,1250.0,0,15000.0,0.0859813,107.4766647,4.6772738 
84,0,25.583334,5,0,0,0,0,3333.3333333,0,40000.0,0.0723023,241.0075068,5.4848281 
85,1,32.3333321,48,0,0,0,0,3750.0,0,45000.0,0.0916633,343.7374905,5.8398783 
86,0,38.25,43,2,0,0,1,5416.6666667,0,21666.6660156,0.0430792,233.3458342,5.4525216 
87,0,32.6666679,5,1,0,0,1,1833.3333333,0,11000.0,0.0095955,17.5916669,2.8674253 
88,1,21.666666,30,0,0,0,0,2083.3333333,0,28000.0,0.0529286,110.2678555,4.7029125 
89,0,20.666666,6,0,0,0,0,1416.6666667,0,17000.0,0.0742082,105.1283361,4.6551819 
90,0,22.75,72,0,0,0,0,1916.6666667,0,23000.0,0.1076404,206.3108248,5.3293839 
91,0,26.0,30,0,0,0,0,1600.0,0,19200.0,0.0158526,25.3641665,3.2333374 
92,1,37.25,67,0,0,0,0,2208.3333333,0,31000.0,0.0290642,64.1834270,4.1617450 
93,0,25.083334,87,0,0,0,1,2083.3333333,0,25000.0,0.0330648,68.8850026,4.2324385 
94,0,27.833334,7,0,0,0,0,1833.3333333,0,27000.0,0.2067093,378.9669598,5.9374490 
95,1,21.75,13,0,0,0,0,2333.3333333,0,28000.0,0.0410589,95.8041648,4.5623062 
96,0,38.5,76,1,0,0,1,2000.0,0,25500.0,0.0344725,68.9450949,4.2333105 
97,1,21.666666,18,0,0,0,1,1500.0,0,21600.0,0.1106287,165.9430526,5.1116447 
98,0,34.1666679,57,2,0,0,1,1833.3333333,0,7333.3334961,0.0254191,46.6016683,3.8416363 
99,0,19.0,10,0,0,0,1,2333.3333333,0,28000.0,0.1672143,390.1666751,5.9665740 
100,1,20.333334,0,0,0,1,1,1250.0,0,35000.0,0.1009114,126.1392888,4.8373868 
101,0,20.75,12,0,0,0,0,2166.6666667,0,26000.0,0.0608481,131.8374978,4.8815701 
102,0,28.5,14,3,0,1,0,1808.3333333,0,9175.0,0.1939354,350.6998919,5.8599308 
103,0,48.0833321,30,0,0,0,1,2083.3333333,0,25000.0,0.0083188,17.3308343,2.8524872 
104,1,41.9166679,120,3,0,0,1,2500.0,0,7500.0,0.095609,239.0225045,5.4765577 
105,0,27.166666,24,0,0,0,1,1407.8333333,0,16894.0,0.1005333,141.5341716,4.9525412 
106,1,58.3333321,7,1,0,0,0,5416.6666667,0,32500.0,0.0806808,437.0208519,6.0799809 
107,1,24.0,75,0,0,0,0,1750.0,0,21000.0,0.0509719,89.2008301,4.4908903 
108,1,40.4166679,60,1,0,3,1,2162.5,0,15575.0,0.0767592,165.9918276,5.1119386 
109,1,28.666666,24,2,0,0,0,2500.0,0,10000.0,0.0144193,36.0483327,3.5848606 
110,1,22.333334,100,1,0,1,0,2500.0,0,15000.0,0.0858493,214.6233432,5.3688846 
111,0,24.416666,70,0,0,0,0,1625.0,0,19500.0,0.0632174,102.7283380,4.6320880 
112,1,34.4166679,60,1,0,0,0,2916.6666667,0,19000.0,0.1841647,537.1471370,6.2862721 
113,0,57.5,36,1,0,0,0,2275.0,0,22650.0,0.0040174,9.1396742,2.2126247 
114,0,32.5833321,118,0,0,0,1,1000.0,0,29000.0,0.0088962,8.8962065,2.1856250 
115,0,33.75,24,1,0,1,1,1666.6666667,0,12250.0,0.048211,80.3517054,4.3864133 
116,1,28.25,48,3,0,1,0,4166.6666667,0,12500.0,0.00024,1.0000000,-0 
117,0,32.75,3,1,0,0,0,1833.3333333,0,11000.0,0.0793341,145.4458274,4.9798037 
118,0,28.166666,26,0,0,0,1,2500.0,0,44000.0,0.008287,20.7176129,3.0309842 
119,0,38.5,60,2,0,0,0,2000.0,0,8000.0,0.02866,57.3199987,4.0486496 
120,0,23.166666,37,0,0,0,1,2250.0,0,30500.0,0.0139098,31.2971317,3.4435265 
121,1,35.0,48,0,0,0,0,1666.6666667,0,20000.0,0.4518135,753.0224820,6.6240951 
122,1,45.8333321,12,2,1,0,0,3166.6666667,0,16000.0,0.0458131,145.0748947,4.9772501 
123,0,25.916666,93,0,0,0,0,2450.0,0,29400.0,0.1320003,323.4008379,5.7788925 
124,1,27.166666,5,0,1,1,0,1583.3333333,0,26000.0,0.0772308,122.2820468,4.8063302 
125,1,31.416666,24,1,0,0,1,2083.3333333,0,15000.0,0.0691713,144.1069413,4.9705557 
126,0,24.833334,8,3,2,2,1,2500.0,0,9900.0,0.0896023,224.0056731,5.4116714 
127,1,36.8333321,12,5,0,0,1,2500.0,0,7500.0,0.0145556,36.3888894,3.5942635 
128,1,37.3333321,13,2,0,0,0,1750.0,0,9083.3330078,0.0571919,100.0858722,4.6060285 
129,0,24.833334,16,0,0,0,0,1530.0,0,18360.0,0.0980365,149.9958303,5.0106075 
130,0,47.5,43,3,0,0,0,2166.6666667,0,6500.0,0.0479212,103.8291603,4.6427469 
131,0,25.916666,8,1,0,1,1,2166.6666667,0,17000.0,0.2545915,551.6148408,6.3128501 
132,1,28.75,27,0,0,0,1,2083.3333333,0,25000.0,0.01238,25.7916671,3.2500515 
133,0,26.166666,4,0,0,0,0,1666.6666667,0,20000.0,0.044826,74.7100015,4.3136140 
134,1,36.0833321,48,1,0,0,1,2500.0,0,15000.0,0.0081157,20.2891673,3.0100871 
135,0,25.833334,6,0,0,0,0,2500.0,0,30000.0,0.111847,279.6174958,5.6334226 
136,0,34.0833321,24,2,0,2,0,1250.0,0,10833.3330078,0.0591277,73.9096152,4.3028429 
137,0,47.0833321,5,1,0,0,1,2225.0,0,15975.0,0.0950654,211.5205482,5.3543221 
138,1,21.0,98,0,0,0,0,1583.3333333,0,19000.0,0.0664332,105.1858272,4.6557286 
139,1,51.5833321,87,0,0,0,0,1339.5833333,0,25481.0,0.0093913,12.5804444,2.5321436 
140,0,23.333334,13,0,0,0,0,2803.3333333,0,33640.0,0.0436576,122.3866720,4.8071855 
141,0,26.0,7,0,0,0,0,1250.0,0,15000.0,0.0008,1.0000000,-0 
142,1,23.083334,32,0,0,0,0,1230.0,0,18960.0,0.0146097,17.9699368,2.8887002 
143,0,27.583334,7,2,0,0,0,2250.0,0,9000.0,0.277103,623.4816983,6.4353194 
144,1,22.75,248,0,1,2,1,1500.0,0,18000.0,0.0300556,45.0833347,3.8085127 
145,0,28.833334,177,0,0,0,0,1455.5,0,19466.0,0.037043,53.9161592,3.9874302 
146,0,28.333334,63,2,0,0,1,1833.3333333,0,7333.3334961,0.0057727,10.5833330,2.3592804 
147,1,21.5,3,0,0,0,0,1791.6666667,0,21500.0,0.0793112,142.0991657,4.9565252 
148,0,23.166666,12,0,0,0,1,2083.3333333,0,25000.0,0.229822,478.7958227,6.1712742 
149,0,22.25,14,0,0,0,0,2500.0,0,33000.0,0.0462118,115.5295409,4.7495263 
150,1,46.8333321,143,0,1,0,1,1666.6666667,0,20000.0,0.08695,144.9166611,4.9761588 
151,0,25.416666,38,0,1,0,0,2750.0,0,33000.0,0.0598552,164.6016678,5.1035284 
152,0,41.25,50,2,1,1,1,5295.3333333,0,21181.3339844,0.0374518,198.3200014,5.2898819 
153,0,21.083334,124,0,0,0,1,1291.6666667,0,15500.0,0.0711419,91.8916672,4.5206104 
154,0,23.916666,18,0,0,0,0,2000.0,0,24000.0,0.0242617,48.5233292,3.8820447 
155,1,34.9166679,12,0,0,3,0,2666.6666667,0,44000.0,0.0413343,110.2248430,4.7025223 
156,1,35.5833321,52,3,0,1,0,2083.3333333,1,7450.0,0.0166443,34.6756152,3.5460367 
157,1,39.8333321,96,1,0,1,1,2083.3333333,0,12500.0,0.00335,6.9791665,1.9429295 
158,0,43.4166679,12,0,0,0,0,2000.0,0,24000.0,0.0343588,68.7175021,4.2300039 
159,1,51.9166679,89,3,0,0,0,1818.3333333,0,6747.0,0.0427746,77.7784183,4.3538640 
160,1,29.083334,127,2,0,0,0,2768.1666667,0,11072.6669922,0.1778295,492.2616641,6.1990104 
161,0,37.4166679,80,2,0,0,1,4166.6666667,0,16666.6660156,0.0932248,388.4366713,5.9621301 
162,1,29.583334,13,0,0,0,1,2333.3333333,0,43000.0,0.0002791,.6511628,-.4289956 
163,0,63.3333321,42,0,0,0,0,2000.0,1,24000.0,0.1608371,321.6741681,5.7735391 
164,1,27.166666,14,0,0,0,0,1541.6666667,0,19000.0,0.0287368,44.3026326,3.7910441 
165,0,37.4166679,23,3,0,0,1,3500.0,0,12375.0,0.3217386,1126.0851026,7.0265024 
166,0,24.916666,30,0,0,0,0,3333.3333333,0,40000.0,0.2363737,787.9124582,6.6693870 
167,0,21.5,15,0,0,0,0,1633.3333333,0,19600.0,0.359753,587.5966360,6.3760407 
168,1,25.5,41,3,0,0,0,1800.0,0,5400.0,0.0887593,159.7666651,5.0737144 
169,0,29.333334,53,3,0,1,1,2166.6666667,0,6500.0,0.0833315,180.5516705,5.1960170 
170,1,24.833334,18,0,0,0,0,1666.6666667,0,24800.0,0.1313552,218.9254016,5.3887310 
171,0,36.0833321,48,0,1,0,0,2750.0,0,33000.0,0.0582479,160.1816677,5.0763086 
172,1,18.666666,51,0,1,0,1,583.3333333,0,16600.0,0.0568759,33.1776102,3.5018753 
173,1,25.75,24,0,0,0,0,1000.0,0,36000.0,0.0108411,10.8411107,2.3833455 
174,0,0.0,96,1,0,0,1,2666.6666667,0,16000.0,0.00525,13.9999998,2.6390573 
175,1,27.583334,6,2,0,0,1,2844.0,0,14092.6669922,0.0925351,263.1698905,5.5727998 
176,1,49.3333321,26,0,0,0,0,2083.3333333,0,25000.0,0.0101356,21.1158340,3.0500232 
177,0,35.5,12,2,0,0,1,1416.6666667,0,5666.6665039,0.0172353,24.4166665,3.1952660 
178,1,50.6666679,74,0,0,0,0,1600.0,1,19200.0,0.1031542,165.0466681,5.1062283 
179,0,32.4166679,12,3,1,2,1,2000.0,0,14050.0,0.0398279,79.6558708,4.3777157 
180,0,47.8333321,6,3,0,0,1,4166.6666667,0,12500.0,0.059309,247.1208572,5.5098775 
181,1,28.75,54,1,0,0,1,3333.3333333,0,20000.0,0.147149,490.4966553,6.1954185 
182,1,44.1666679,28,0,0,0,0,1570.9166667,0,18851.0,0.0114731,18.0233333,2.8916672 
183,0,24.5,12,0,0,0,0,2016.6666667,0,27200.0,0.2284118,460.6303905,6.1325960 
184,0,40.0833321,11,2,0,0,1,5000.0,0,20000.0,0.0143537,71.7683323,4.2734433 
185,0,66.5833359,153,1,0,0,1,7500.0,0,50000.0,0.00096,7.1999998,1.9740810 
186,1,35.6666679,3,1,0,0,1,2500.0,0,15000.0,0.0881297,220.3241736,5.3951000 
187,0,23.666666,5,0,0,0,0,2279.1666667,0,27350.0,0.2699528,615.2675000,6.4220571 
188,1,39.75,113,1,2,2,0,1666.6666667,0,10000.0,0.2359,393.1666662,5.9742336 
189,0,25.333334,51,3,0,0,0,2125.0,0,6375.0,0.2189737,465.3191362,6.1427235 
190,0,31.25,54,2,0,0,1,4000.0,0,16000.0,0.058096,232.3841751,5.4483919 
191,0,36.75,12,3,0,0,1,2500.0,0,7800.0,0.0303381,75.8453505,4.3286964 
192,1,25.333334,14,0,0,0,1,2300.0,0,34800.0,0.0512103,117.7837908,4.7688507 
193,0,27.416666,6,0,0,0,0,4000.0,0,48000.0,0.0233652,93.4608355,4.5375425 
194,0,33.6666679,78,0,1,0,0,5000.0,0,60000.0,0.058708,293.5400046,5.6820139 
195,1,39.9166679,60,0,0,0,1,3333.3333333,0,40000.0,0.0511925,170.6416657,5.1395658 
196,0,36.75,126,4,0,0,1,2291.6666667,0,5500.0,0.0115051,26.3658327,3.2720690 
197,1,37.75,20,3,0,0,1,3350.0,0,10050.0,0.0183015,61.3100001,4.1159430 
198,0,44.8333321,18,0,0,0,1,2583.3333333,0,31000.0,0.1612474,416.5558281,6.0320205 
199,0,40.5,96,2,0,1,1,2083.3333333,0,8333.3330078,0.0750848,156.4266626,5.0525873 
200,0,41.75,226,4,1,0,1,3916.6666667,0,9400.0,0.070813,277.3508591,5.6252833 
201,0,30.416666,60,4,0,0,0,2166.6666667,0,5200.0,0.0353412,76.5725020,4.3382380 
202,0,57.0833321,120,0,0,0,0,2833.3333333,0,34000.0,0.0003529,1.0000000,-0 
203,0,22.583334,13,1,0,0,1,1040.0,0,15740.0,0.0260975,27.1414240,3.3010611 
204,0,23.083334,40,1,0,0,0,2080.0,0,12480.0,0.1089832,226.6850019,5.4235614 
205,0,33.25,146,0,0,0,0,1416.6666667,0,17000.0,0.0067259,9.5283331,2.2542698 
206,1,27.0,38,0,0,1,0,2250.0,0,37400.0,0.0368717,82.9612277,4.4183734 
207,1,21.083334,12,1,0,0,1,833.3333333,0,15000.0,0.0004,.3333333,-1.0986123 
208,0,79.3333359,348,0,0,0,1,1143.0,0,13716.0,0.0040828,4.6666669,1.5404451 
209,1,32.5833321,12,4,1,0,0,3750.0,0,9000.0,0.0324402,121.6508355,4.8011549 
210,1,28.083334,111,0,0,0,1,3833.3333333,0,46000.0,0.0394393,151.1841621,5.0184987 
211,0,37.4166679,72,0,0,0,1,2500.0,0,30000.0,0.0305843,76.4608290,4.3367786 
212,0,63.25,122,0,0,0,0,3458.3333333,0,47044.0,0.0025933,8.9685541,2.1937245 
213,1,18.916666,12,0,0,0,0,1290.5833333,0,15487.0,0.3106011,400.8566611,5.9936039 
214,1,35.8333321,37,1,1,0,0,1833.3333333,1,12000.0,0.0235946,43.2567379,3.7671530 
215,0,30.75,8,0,0,0,0,2500.0,0,37200.0,0.1009621,252.4052374,5.5310359 
216,0,28.666666,16,1,0,0,1,3533.3333333,0,21200.0,0.1358583,480.0324927,6.1738538 
217,0,34.25,15,2,0,0,1,2125.0,0,10666.6669922,0.1655056,351.6994379,5.8627769 
218,1,44.5833321,19,0,0,0,1,1703.0,0,30966.0,0.0063441,10.8039254,2.3799095 
219,1,44.8333321,58,3,0,0,1,2065.75,0,6197.25,0.1469079,303.4749858,5.7152992 
220,0,63.5,42,0,0,0,1,2700.0,0,64532.0,0.000186,.5020765,-.6890028 
221,0,33.0,36,3,0,0,1,2250.0,0,8000.0,0.0242675,54.6018756,4.0000682 
222,1,25.333334,5,0,0,0,0,2916.6666667,0,35000.0,0.0551946,160.9841672,5.0813060 
223,0,23.5,8,0,0,0,0,2025.0,0,26300.0,0.0380616,77.0747328,4.3447755 
224,0,43.75,120,3,1,4,1,4000.0,0,14500.0,0.3257222,1302.8889894,7.1723394 
225,0,21.416666,5,0,0,0,0,2250.0,0,29000.0,0.084379,189.8526717,5.2462484 
226,1,34.5833321,10,3,0,0,1,2375.0,0,11375.0,0.04536,107.7299975,4.6796281 
227,0,52.5833321,101,1,0,0,0,1500.0,0,9000.0,0.2379233,356.8849862,5.8774136 
228,0,50.3333321,162,0,0,0,1,2416.6666667,0,32600.0,0.1677684,405.4403094,6.0049737 
229,0,20.583334,2,0,0,0,0,1333.3333333,0,16000.0,0.100885,134.5133285,4.9016633 
230,0,26.0,30,0,0,0,0,1916.6666667,0,35000.0,0.0730126,139.9407554,4.9412192 
231,0,42.6666679,18,1,0,0,0,3166.6666667,0,19000.0,0.0387039,122.5625028,4.8086211 
232,0,21.416666,222,0,0,0,1,1583.3333333,0,19000.0,0.0539353,85.3975002,4.4473168 
233,0,32.25,3,2,0,0,1,2608.3333333,0,10433.3330078,0.0204006,53.2116635,3.9742776 
234,1,28.75,48,3,0,0,1,2500.0,0,7500.0,0.0611317,152.8291591,5.0293207 
235,0,29.25,51,0,0,0,0,1500.0,0,18000.0,0.0833661,125.0491776,4.8287071 
236,0,24.666666,18,1,1,1,0,2025.8333333,0,13505.0,0.5269685,1067.5504314,6.9731220 
237,1,42.1666679,105,4,0,0,0,1700.0,0,5280.0,0.0836742,142.2462158,4.9575595 
238,0,22.5,2,0,0,0,0,1250.0,0,15000.0,0.3566093,445.7616806,6.0997845 
239,1,31.166666,60,0,0,0,0,3333.3333333,0,40000.0,0.0239208,79.7358342,4.3787191 
240,0,49.4166679,36,1,1,0,0,8333.25,1,49999.5,0.0364351,303.6224965,5.7157851 
241,0,53.6666679,126,2,0,0,1,5000.0,1,21666.6660156,0.0343885,171.9423011,5.1471590 
242,0,29.416666,3,4,0,0,0,3333.3333333,0,8300.0,0.1012299,337.4329209,5.8213667 
243,0,41.4166679,115,1,0,3,1,1343.3333333,0,8060.0,0.1478213,198.5733293,5.2911584 
244,1,23.0,36,1,0,1,0,2916.6666667,0,32500.0,0.0448357,130.7707746,4.8734460 
245,0,26.333334,1,0,0,0,0,1916.6666667,0,45000.0,0.0860862,164.9985903,5.1059369 
246,1,24.166666,5,0,0,0,0,1916.6666667,0,23000.0,0.0005217,1.0000000,-0 
247,0,65.9166641,230,1,0,0,1,2083.3333333,0,14750.0,0.0485614,101.1694937,4.6167973 
248,0,45.0,135,2,1,0,0,1583.3333333,0,6333.3334961,0.0919016,145.5108318,4.9802505 
249,1,58.75,192,0,0,2,1,1601.6666667,0,24888.0,0.0157855,25.2831397,3.2301378 
250,0,39.0,70,0,0,3,0,1666.6666667,0,20000.0,0.1057495,176.2491713,5.1718987 
251,0,34.5833321,24,2,0,0,1,3250.0,0,13333.3330078,0.0024,7.8000004,2.0541238 
252,1,32.75,26,0,0,0,0,1716.6666667,0,20600.0,0.2140505,367.4533355,5.9065963 
253,0,21.0,17,0,0,0,0,1500.0,0,18000.0,0.0245133,36.7700011,3.6046823 
254,1,25.666666,24,0,0,0,0,1833.3333333,0,27000.0,0.0525593,96.3586370,4.5680770 
255,1,27.083334,38,0,0,0,0,3750.0,0,55000.0,0.0071093,26.6597728,3.2831558 
256,0,53.9166679,224,0,0,0,0,1950.0,0,23400.0,0.0720974,140.5899994,4.9458478 
257,0,27.833334,44,0,0,0,1,3291.6666667,0,39500.0,0.0029873,9.8333332,2.2857780 
258,1,19.166666,6,0,0,0,0,1500.0,0,18000.0,0.2581856,387.2783482,5.9591437 
259,0,26.416666,9,0,0,0,0,2000.0,0,24000.0,0.1064675,212.9350007,5.3609870 
260,1,18.75,134,0,0,0,0,1166.6666667,0,17000.0,0.048,56,4.0253517 
261,1,27.583334,24,0,0,0,0,1458.3333333,0,27100.0,0.0320295,46.7097177,3.8439522 
262,0,27.333334,48,0,0,0,1,2166.6666667,0,26000.0,0.0438196,94.9424965,4.5532714 
263,0,35.25,96,2,0,0,0,2916.6666667,0,11666.6669922,0.0912771,266.2250058,5.5843418 
264,0,61.75,183,0,2,0,1,2166.6666667,0,26000.0,0.2694312,583.7675432,6.3695029 
265,1,26.5,18,0,0,1,0,2083.3333333,0,25000.0,0.0522596,108.8741623,4.6901927 
266,0,45.5833321,12,4,1,0,0,2583.3333333,0,6200.0,0.1539732,397.7641563,5.9858593 
267,1,25.833334,29,0,1,2,1,2833.3333333,0,34000.0,0.0567618,160.8249980,5.0803168 
268,1,24.25,30,0,0,0,1,1708.3333333,0,20500.0,0.1462122,249.7791586,5.5205772 
269,0,53.25,4,0,0,0,1,1800.0,0,22200.0,0.0081081,14.5945949,2.6806513 
